RK,TIER,PLAYER NAME,POS,TEAM,BYE,ADP,PROJ
205,,Cam Little,K,JAX,,,
206,,Jake Bates,K,DET,,,
207,,Harrison Mevis,K,LAR,,,
208,,Tyler Loop,K,BAL,,,
209,,Chris Boswell,K,PIT,,,
210,,Harrison Butker,K,KC,,,
211,,Andy Borregales,K,NE,,,
212,,Evan McPherson,K,CIN,,,
213,,Will Reichard,K,MIN,,,
214,,Eddy Pineiro,K,SF,,,
215,,Wil Lutz,K,DEN,,,
216,,Cairo Santos,K,CHI,,,
217,,Chase McLaughlin,K,TB,,,
218,,Trey Smack,K,GB,,,
219,,Jake Elliott,K,PHI,,,
220,,Matt Gay,K,LV,,,
221,,Arizona Cardinals,DEF,ARI,,,
222,,Atlanta Falcons,DEF,ATL,,,
223,,Baltimore Ravens,DEF,BAL,,,
224,,Buffalo Bills,DEF,BUF,,,
225,,Carolina Panthers,DEF,CAR,,,
226,,Chicago Bears,DEF,CHI,,,
227,,Cincinnati Bengals,DEF,CIN,,,
228,,Cleveland Browns,DEF,CLE,,,
229,,Dallas Cowboys,DEF,DAL,,,
230,,Denver Broncos,DEF,DEN,,,
231,,Detroit Lions,DEF,DET,,,
232,,Green Bay Packers,DEF,GB,,,
233,,Houston Texans,DEF,HOU,,,
234,,Indianapolis Colts,DEF,IND,,,
235,,Jacksonville Jaguars,DEF,JAX,,,
236,,Kansas City Chiefs,DEF,KC,,,
237,,Las Vegas Raiders,DEF,LV,,,
238,,Los Angeles Chargers,DEF,LAC,,,
239,,Los Angeles Rams,DEF,LAR,,,
240,,Miami Dolphins,DEF,MIA,,,
241,,Minnesota Vikings,DEF,MIN,,,
242,,New England Patriots,DEF,NE,,,
243,,New Orleans Saints,DEF,NO,,,
244,,New York Giants,DEF,NYG,,,
245,,New York Jets,DEF,NYJ,,,
246,,Philadelphia Eagles,DEF,PHI,,,
247,,Pittsburgh Steelers,DEF,PIT,,,
248,,San Francisco 49ers,DEF,SF,,,
249,,Seattle Seahawks,DEF,SEA,,,
250,,Tampa Bay Buccaneers,DEF,TB,,,
251,,Tennessee Titans,DEF,TEN,,,
252,,Washington Commanders,DEF,WAS,,,
